autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Spoon Graphics,How To Create a Fun Vector Illustration in Adobe Illustrator,https://www.youtube.com/watch?v=nAH-eq7zgKk,Vector Illustration & Drawing (Vector Illustration & Drawing),190261,2016-08-11,-20.64,-19.05,82.87
Dansky,6 Tools for Beautiful Backgrounds in Adobe Illustrator,https://www.youtube.com/watch?v=uGg1F1HoWRo,Beginner Guides (Beginner Guides),187837,2023-08-10,56.82,39.68,19.26
Graphic Station,Design A 3D Modern Logo in Adobe Illustrator Tutorial For Beginner's,https://www.youtube.com/watch?v=BqZgIzFRvcI,"Beginner Guides (Beginner Guides, Logo Design & Branding, 3D & Inflation Effects)",184670,2023-08-10,-8.87,-0.05,-22.19
Satori Graphics,Illustrator Pen Tool Tutorial - 5 AWESOME Pen Tool Tips For Adobe Illustrator,https://www.youtube.com/watch?v=F-bhWYC3EVY,Pen Tool & Precise Paths (Pen Tool & Precise Paths),184130,2017-08-11,79.05,-87.16,27.63
Zed Designs,Create a Premium & Unique 3d Text Effect in Illustrator - Zed Designs,https://www.youtube.com/watch?v=IE8G-RriA0Y,"Typography & Text Effects (Typography & Text Effects, 3D & Inflation Effects)",177080,2023-08-10,-61.13,11.57,48.7
Philippa Berry-Smith,Beginners Basic Pen Tool - tutorial and worksheet,https://www.youtube.com/watch?v=whpMUym0mFA,Pen Tool & Precise Paths (Pen Tool & Precise Paths),177068,2013-08-12,82.96,-103.03,34.44
Zero2Graphic,How to Box Template Design in Adobe Illustrator CC 2022 | Packaging Design Tutorials,https://www.youtube.com/watch?v=lRRZYFjwJjI,Packaging & Label Design (Packaging & Label Design),173917,2022-08-10,-83.7,-2.59,-73.67
SumitVX,Let's Draw Beauty! Vector Portrait Illustration (Free & Easy) in Adobe illustrator 🔥,https://www.youtube.com/watch?v=zOnCATnaufk,Vector Illustration & Drawing (Vector Illustration & Drawing),172231,2024-08-09,11.55,-56.88,91.1
Envato Tuts+,Typographic logo design | Adobe Illustrator tutorial,https://www.youtube.com/watch?v=o387QrWe2_0,"Beginner Guides (Beginner Guides, Logo Design & Branding, Typography & Text Effects)",170301,2025-08-09,-11.93,-3.04,-39.28
Spoon Graphics,Dripping Slime Custom Type Effect Illustrator Tutorial,https://www.youtube.com/watch?v=E6-niqNWJOQ,Typography & Text Effects (Typography & Text Effects),168594,2018-08-11,-16.59,72.04,17.22
Satori Graphics,Professional Logo Design Tutorial | Illustrator Logo Design | Satori Graphics,https://www.youtube.com/watch?v=EdtOsD9yYms,Logo Design & Branding (Logo Design & Branding),168590,2017-08-11,34.27,-37.27,-100.21
