autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Betty Ye,LED DMX Artnet Controller+600600LED Panel+DMX Scenografix Bar,https://www.youtube.com/watch?v=OgBPgALZPUM,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",10816,2016-08-11,-96.25,-27.64,-52.5
MadMapper The Mapping Software,Laser Projector Settings / MadLaser,https://www.youtube.com/watch?v=Nm71P3ghYu0,Laser Control & Hardware (Laser Control & Hardware),10498,2022-08-10,-46.92,-102.54,-38.49
Aidan Lincoln,LED Video Screen - MadMapper DMX Artnet To Teensy and Octo,https://www.youtube.com/watch?v=kbYYC8zcTxE,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",10473,2020-08-10,-83.2,-15.3,-34.9
Live Production Mastery,Projection Mapping is Easy! (Learn how Fast - On a Car!),https://www.youtube.com/watch?v=otQlygOaKBw,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),10423,2023-08-10,29.51,-32.63,76.5
MadMapper The Mapping Software,Leap Motion — MADTutorial Controls,https://www.youtube.com/watch?v=8Uph1eOVTjo,Beginner Guides (Beginner Guides),10207,2018-08-11,80.4,19.23,-44.05
MadMapper The Mapping Software,Cues Scheduler and Automator / MadMapper 4,https://www.youtube.com/watch?v=1qyFNCLmyno,Beginner Guides (Beginner Guides),10083,2020-08-10,61.21,-77.94,-67.29
MadMapper The Mapping Software,Online Materials Library - MADTutorial Basics,https://www.youtube.com/watch?v=KGqoFvPftyE,"Beginner Guides (Beginner Guides, Procedural Shaders & ISF Materials)",10078,2018-08-11,-9.25,31.64,-76.78
Joey Maguire,Madmapper/Madlaser Tutorial (Interactive Laser + Projector),https://www.youtube.com/watch?v=KJWNCobcL70,Laser Control & Hardware (Laser Control & Hardware),9854,2024-08-09,-37.29,-114.64,-58.26
MadMapper The Mapping Software,Mad Projector Control extension,https://www.youtube.com/watch?v=WlB_bH4p7JQ,Beginner Guides (Beginner Guides),9839,2022-08-10,21.33,19.79,-23.47
MadMapper The Mapping Software,Cues: basics #2 store media parameters — MADTutorial Scenes and Cues,https://www.youtube.com/watch?v=vNqwg8o6Siw,Beginner Guides (Beginner Guides),9829,2019-08-11,81.95,-57.64,-112.71
Wicked Lasers,"Demo of MadLaser / MadMapper with LaserCube, quick overview of different features",https://www.youtube.com/watch?v=0b_N45GmLY4,Laser Control & Hardware (Laser Control & Hardware),9813,2022-08-10,-8.75,-101.04,-25.56
p groarke,SimpleOcean Shader Demo,https://www.youtube.com/watch?v=YeeyUybFUvM,Beginner Guides (Beginner Guides),9700,2022-08-10,52.58,-54.12,1.07
Matthieu Beghin,3D Led Setup Demo With MadMapper Material,https://www.youtube.com/watch?v=Deul2yR7nHQ,"3D Projection Mapping & Calibration (3D Projection Mapping & Calibration, LED Strip Pixel Mapping)",9457,2019-08-11,-5.72,-37.08,21.46
Future Media Academy,Videomapping w/ Cinema4D & Madmapper w/ Delta Process,https://www.youtube.com/watch?v=b6kHcan0JE8,Beginner Guides (Beginner Guides),9213,2020-08-10,-9.93,-22.66,-88.38
MadMapper The Mapping Software,Laser Dispatch / MadLaser,https://www.youtube.com/watch?v=5UDzmwZ5Fz8,Laser Control & Hardware (Laser Control & Hardware),9116,2022-08-10,-39.63,-80.55,-45.73
MadMapper The Mapping Software,Bezier MeshWarping part1 / MadMapper 4,https://www.youtube.com/watch?v=1JMNen-HMjY,Surface Creation & Masking (Surface Creation & Masking),9076,2020-08-10,-7.5,-87.06,53.67
HeavyM Software,[HeavyM] Syphon and Spout - Projection mapping tutorial,https://www.youtube.com/watch?v=wAxWi7he26w,"3D Projection Mapping & Calibration (3D Projection Mapping & Calibration, Syphon, Spout & NDI Video Routing)",8879,2017-08-11,20.75,54.16,71.95
RecheTech,Flat 3D Optical Illusion using MadMapper,https://www.youtube.com/watch?v=rpWuFuxvK7o,"Surface Creation & Masking (Surface Creation & Masking, 3D Projection Mapping & Calibration)",8623,2016-08-11,13.78,-83.42,55.57
ProjectileObjects,"Which Live Visuals Software Should You Buy? (Resolume, TouchDesigner, MadMapper, VDMX)",https://www.youtube.com/watch?v=LiBv-KWzibU,Procedural Shaders & ISF Materials (Procedural Shaders & ISF Materials),8605,2025-12-12,-14.16,33.23,-43.59
Fake Edge “Fake Edge”,Sending OBS video streams to VPT8 Video Mapping using Syphon,https://www.youtube.com/watch?v=BH5CsyGJ-4Q,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",8542,2018-08-11,-54.29,112.01,32.75
Acrylicode,"TouchDesigner and Synesthesia | MIDI, OSC, Syphon/Spout",https://www.youtube.com/watch?v=b4SqtQKAm54,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",8122,2022-08-10,-34.27,62.97,9.03
Benjamin Kuperberg,Spout [Syphon on Windows] Unity Receiver Demo,https://www.youtube.com/watch?v=mBqQIKJ_E9M,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",8034,2014-08-12,-43.07,73.35,75.47
Matthieu Beghin,MadMapper 3.0.0 running DMX/LED Output on a 120$ PC (Led by GarageCube),https://www.youtube.com/watch?v=tTxXNfGF_A8,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",8014,2017-08-11,-98.73,1.11,-41.32
ProjectileObjects,Quick Madmapper NDI tutorial live video over ethernet Mac to PC to Mac,https://www.youtube.com/watch?v=fWykqNJI1yU,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",7975,2019-08-11,-73.02,90.73,23.78
MadMapper The Mapping Software,A-B Mixing — MADTutorial Advanced,https://www.youtube.com/watch?v=YjOtiUfE8lU,Beginner Guides (Beginner Guides),7684,2018-08-11,85.78,11.91,-16.68
Phillip Andrews,Madmapper cues and overview for projection mapping,https://www.youtube.com/watch?v=D_5QlrsBp-o,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),7555,2019-08-11,18.24,-32.5,47.94
Phillip Andrews,TRS projection mapping tutorial with Madmapper,https://www.youtube.com/watch?v=9u8CgYn6XJ4,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),7413,2013-08-12,7.02,-15.44,85.36
