autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Sean Bowes,Chaser Ultimate Guide | Resolume Plugin Tutorial,https://www.youtube.com/watch?v=pfpm-zkX1-0,Pixel Mapping & LED Fixtures (Pixel Mapping & LED Fixtures),45770,2023-08-10,-13.7,66.61,-13.13
Capobuf,[GUIDA] Resolume Arena - Guida all'uso ITA,https://www.youtube.com/watch?v=FKwct89_Mf8,Beginner Guides (Beginner Guides),43698,2018-08-11,64.13,53.18,-4.25
VJ SCHOOL,VLC to Resolume via Spout,https://www.youtube.com/watch?v=LrNi3ZSNN6w,"NDI, Spout & Video Routing (NDI, Spout & Video Routing)",43644,2017-08-11,-10.93,81.9,75.37
Pretty Lights Productions,Projection mapping with resolume.,https://www.youtube.com/watch?v=2V-0kdbid8g,Projection Mapping & Advanced Output (Projection Mapping & Advanced Output),43257,2021-08-10,46.21,67.01,-79.62
Outdream Creative,Control Resolume Arena with your lighting desk! | Resolume Shortcuts & DMX Explained +MagicQ Example,https://www.youtube.com/watch?v=vihi8UDwZns,DMX Lighting Control (DMX Lighting Control),42687,2021-08-10,2.87,-29.48,-73.76
Henry Strange Systems,Using Timecode to Sync Ableton Live and Resolume,https://www.youtube.com/watch?v=NFw1jOpVPro,Beginner Guides (Beginner Guides),42459,2019-08-11,29.33,-39.81,38.9
Okiz LD,Resolume Arena Course Chapter 3 - New Composition,https://www.youtube.com/watch?v=rG_8jaScP8o,Beginner Guides (Beginner Guides),42281,2024-08-09,72.34,25.87,-2.55
DocOptic,"Geoboom: Free VJ Loops HD Visuals for Resolume, VDMX, MixEmergency, CoGe, Serato Video, etc.",https://www.youtube.com/watch?v=yUWo20MUPGk,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing)",41419,2015-08-12,-89.5,-3.41,-29.26
DocOptic,"Night Beams: Free VJ Loop HD Visual for Resolume, Serato Video, VDMX, MixEmergency, CoGe, etc.",https://www.youtube.com/watch?v=phPFf57CsJg,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing)",41216,2019-08-11,-81.79,-5.96,-79.4
MITH xyz,Resolume video routing - complex pipelines,https://www.youtube.com/watch?v=kBev-9QhADs,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing, Projection Mapping & Advanced Output, NDI, Spout & Video Routing)",40296,2020-08-10,-98.21,68.97,-4.54
Resolume VJ Software,Resolume Video Training: 4.2 BPM Sync,https://www.youtube.com/watch?v=LgInkPpePc4,BPM Sync & Audio Reactivity (BPM Sync & Audio Reactivity),39529,2019-08-11,-29.2,-17.06,85.29
Resolume VJ Software,Resolume Video Training: 6.6 Examples,https://www.youtube.com/watch?v=2ccGRBNWU08,Beginner Guides (Beginner Guides),39039,2019-08-11,55.84,-13.86,32.22
Resolume VJ Software,Resolume Tutorial - Ableton Link,https://www.youtube.com/watch?v=-mpmeu94_Q8,Beginner Guides (Beginner Guides),39019,2020-08-10,35.93,-19.9,23.87
Sean Bowes,Concert Visuals Animation Workflow | The Best Tools for your Animation Pipeline,https://www.youtube.com/watch?v=_1ikhXFg3Oo,Beginner Guides (Beginner Guides),38963,2024-08-09,99.11,-46.86,8.83
Sean Bowes,The BEST new BPM SYNC Plugin? | Resolume Plugin Tutorial,https://www.youtube.com/watch?v=VNQC7qlxt60,BPM Sync & Audio Reactivity (BPM Sync & Audio Reactivity),38866,2024-08-09,-35.72,-39.67,112.97
DocOptic,"Glowzones: HD VJ Loops/Clips/Visuals for Resolume, Serato Video, VDMX, MixEmergency, CoGe, etc.",https://www.youtube.com/watch?v=Plm_ArEkVJA,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing)",38471,2017-08-11,-113.25,-8.26,-22.55
Tony Tao,Resolume Arean 6 VJ Software control WS2815 LED Pixel Strip,https://www.youtube.com/watch?v=D-2bcmepCNM,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing, Pixel Mapping & LED Fixtures)",38381,2021-08-10,-46.91,27.71,-39.6
VJ FALCÃO,Vj Falcão - Mapping (Resolume),https://www.youtube.com/watch?v=DPcC2OhCtAM,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing, Projection Mapping & Advanced Output)",38224,2022-08-10,-96.12,53.78,-25.69
GUPTA VFX,Resolume Arena Bigner Level Class 1 By Vfx Gupta. Easy Way To Make Slice And Boder.#resolumearena,https://www.youtube.com/watch?v=zJE0Vs4qYbM,Beginner Guides (Beginner Guides),38146,2025-08-09,58.43,31.72,-21.52
Crazy Amazing Designs,How to Setup Enttec ODE MK2 and use it with Resolume Arena,https://www.youtube.com/watch?v=dwHga9kgUq0,DMX Lighting Control (DMX Lighting Control),37346,2021-08-10,18.57,-17.31,-69.17
DocOptic,"Invertigo: Free VJ Loops & HD Visuals for Resolume, Serato Video, VDMX, MixEmergency, CoGe, etc.",https://www.youtube.com/watch?v=LFadDictlMo,"Decks, Clips & Layer Mixing (Decks, Clips & Layer Mixing)",37269,2015-08-12,-89.5,-3.41,-29.26
Resolume VJ Software,Resolume Arena Tutorial - Syncing Pioneer DJ Players,https://www.youtube.com/watch?v=zM3LBc7V6NQ,Beginner Guides (Beginner Guides),36954,2022-08-10,15.35,40.72,32.89
Sean Bowes,Is the APC Mini MK2 Good for VJs?,https://www.youtube.com/watch?v=aXcLVD8LHvU,Beginner Guides (Beginner Guides),36788,2023-08-10,105.11,-18.21,-25.91
VFX Mehra,How to make Outline Effect Next Level | Resolume Arena Pro Trick| Without Plugins,https://www.youtube.com/watch?v=6GgGIplljFc,Beginner Guides (Beginner Guides),36179,2025-08-09,35.45,20.42,-27.66
Sean Bowes,5 FX VJs CANT IGNORE | Underrated Effects | Resolume Quick Tip Tutorial,https://www.youtube.com/watch?v=L3Mqal5Zpwc,Beginner Guides (Beginner Guides),35480,2024-08-09,112.65,26.86,40.14
starlightjasper,Resolume Artnet Alphapix 16 Ws2811 SPI pixel led,https://www.youtube.com/watch?v=MssHE5o3CIA,"DMX Lighting Control (DMX Lighting Control, Pixel Mapping & LED Fixtures)",35116,2018-08-11,-9.6,2.95,-61.79
