autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
DitzelGames,"Fixed, Spring, Hinge, Character & Configurable Joint explained - Unity Tutorial",https://www.youtube.com/watch?v=MElbAwhMvTc,Beginner Guides (Beginner Guides),406712,2018-08-11,17:31,1051,-47.33,-73.42,-10.72,,
Brackeys,Intro to Unity Timeline,https://www.youtube.com/watch?v=G_uBFM3YUF4,Beginner Guides (Beginner Guides),394372,2018-08-11,08:39,519,-59.47,-8.19,-17.86,,
Velvary,Creating Tilemaps For Your 2D Game in Unity 2021 - Tutorial,https://www.youtube.com/watch?v=DTp5zi8_u1U,2D Physics & Movement (2D Physics & Movement),390163,2021-08-10,07:07,427,-16.63,99.8,49.56,,
Sebastian Lague,Answering Your Questions,https://www.youtube.com/watch?v=kIMHRQWorkE,Beginner Guides (Beginner Guides),383399,2023-08-10,29:12,1752,-61.4,-1.31,2.42,,
Code Monkey,Simple Drag Drop (Unity Tutorial for Beginners),https://www.youtube.com/watch?v=BGr-7GZJNXg,Beginner Guides (Beginner Guides),375687,2020-08-10,10:31,631,-26.48,-45.76,-17.63,,
Andrzej Gieralt Creative,How I would learn game dev (If I could start over),https://www.youtube.com/watch?v=lMZun9SHv1s,Beginner Guides (Beginner Guides),368982,2024-08-09,07:50,470,-64.73,25.98,-45.68,,
Brackeys,HIGH QUALITY LIGHTING using Light Probes - Unity Tutorial,https://www.youtube.com/watch?v=_E0JXOZDTKA,URP & Lighting Setup (URP & Lighting Setup),352862,2020-08-10,10:09,609,-10.16,-64.09,-69.17,,
Sebastian Lague,Coding Adventure: Analyzing Audio,https://www.youtube.com/watch?v=08mmKNLQVHU,Beginner Guides (Beginner Guides),349995,2026-01-11,21:27,1287,-58.59,21.03,32.14,,
AngelHYYPE,¿Cómo Hacer un Juego en UNITY desde CERO? Tutorial COMPLETO para Principiantes,https://www.youtube.com/watch?v=MQqx4422lEo,Beginner Guides (Beginner Guides),348565,2025-08-09,03:05:36,11136,-105.59,-16.52,42.91,,
Brackeys,MILLIONS OF PARTICLES! - Unity VFX Graph,https://www.youtube.com/watch?v=FvZNVQuLDjI,VFX & Particles (VFX & Particles),346083,2019-08-11,12:16,736,9.82,-73.22,55.14,,
Code Monkey,"Simple Inventory System in Unity (Store, Use, Stack and Drop Items)",https://www.youtube.com/watch?v=2WnAOV7nHW0,Beginner Guides (Beginner Guides),344006,2020-08-10,28:06,1686,-30.14,-56.88,-24.34,,
Sebastian Lague,I Tried Coding my own Graphics Library,https://www.youtube.com/watch?v=_JGMgpyCTsY,Beginner Guides (Beginner Guides),339738,2026-07-26,27:30,1650,-86.02,17.26,41.8,,
Sebastian Lague,[Unity] Procedural Cave Generation (E01. Cellular Automata),https://www.youtube.com/watch?v=v7yyZZjF1z4,Beginner Guides (Beginner Guides),327482,2015-08-12,22:58,1378,-95.82,-32.38,3.07,,
Stephen Hubbard,Every Unity Tutorial Be Like,https://www.youtube.com/watch?v=7vEyVcYUIzY,Beginner Guides (Beginner Guides),325510,2023-08-10,00:43,43,-59.25,-27.85,-34.89,,
