autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Coding Is Fun,Run Python Scripts Daily Online in Just 5 Minutes: Easy Guide,https://www.youtube.com/watch?v=0G8bjcY4lBM,Web Scraping & Automation (Web Scraping & Automation),59242,2024-08-09,06:07,367,-60.77,-22.21,-117.7,,
Corey Schafer,Python Tutorial: Type Hints - From Basic Annotations to Advanced Generics,https://www.youtube.com/watch?v=RwH2UzC2rIo,Beginner Guides (Beginner Guides),50540,2025-08-09,40:58,2458,25.26,-31.07,-90.09,,
Tech With Tim,How I Would Learn Python Web Development If I Started Over,https://www.youtube.com/watch?v=eOuCaQtlql8,Beginner Guides (Beginner Guides),49104,2025-11-12,21:31,1291,37.05,-61.63,-52.14,,
Thu Vu,Python Web-scraping with Selenium vs Scrapy vs BeautifulSoup | Witcher project ep. #1,https://www.youtube.com/watch?v=RuNolAh_4bU,"Machine Learning (Machine Learning, Web Scraping & Automation)",49013,2022-08-10,13:30,810,14.15,56.02,-120.0,,
Tech With Tim,Learn NumPy in 40 Minutes - Python NumPy Tutorial,https://www.youtube.com/watch?v=zI5ducyfyNc,Data Science (Data Science),47654,2026-02-10,40:50,2450,2.98,40.59,58.08,,
Intellipaat,What is PyTorch | Introduction to PyTorch | PyTorch Tutorial For Beginners | Intellipaat,https://www.youtube.com/watch?v=Idg5uFnpV1M,"Beginner Guides (Beginner Guides, Data Science, Machine Learning)",45060,2025-08-09,04:02,242,-30.6,92.72,21.1,,
The Testing Academy,How To Become High Paying Automation Engineer Using Python,https://www.youtube.com/watch?v=O95Jrb6vo30,Web Scraping & Automation (Web Scraping & Automation),44493,2024-08-09,04:34,274,-22.6,-76.38,-112.28,,
ACADGILD,NumPy Python Tutorial - Part 1 | NumPy and Pandas Tutorial | NumPy Tutorial | NumPy Introduction,https://www.youtube.com/watch?v=rvY0MskPps0,"Beginner Guides (Beginner Guides, Data Science)",43098,2019-08-11,01:30:22,5422,-34.13,42.12,34.01,,
Corey Schafer,"I Use AI Every Day: What I Like, What I Hate, and Where I Think We're Heading",https://www.youtube.com/watch?v=tHh0UaL_V4w,Machine Learning (Machine Learning),42757,2026-07-27,37:30,2250,-7.23,58.77,-96.64,,
Udacity,Intro to Numpy and Pandas - Intro to Data Science,https://www.youtube.com/watch?v=ahBMf6F47D8,"Beginner Guides (Beginner Guides, Data Science)",42040,2015-08-12,00:53,53,-67.48,81.0,54.57,,
